employee_id,gender,company_type,wfh_setup_available,designation,resource_allocation,mental_fatigue_score,hours_per_week,years_experience,team_size,burn_rate
EMP_00001,Male,Product,Yes,2,4.9,1.98,44,6,25,0.4437
EMP_00002,Non-binary,Product,Yes,4,1.2,7.39,52,10,29,0.3979
EMP_00003,Female,Service,No,4,1.5,2.8,65,15,5,0.4029
EMP_00004,Female,Service,Yes,2,7.1,4.93,60,9,22,0.5406
EMP_00005,Male,Product,No,5,4.3,3.27,37,4,6,0.485
EMP_00006,Male,Product,No,5,8.8,5.07,59,8,15,0.8182
EMP_00007,Male,Product,Yes,3,7.6,3.47,63,13,28,0.594
EMP_00008,Female,Product,Yes,3,1.2,9.94,62,17,22,0.3344
EMP_00009,Female,Product,Yes,5,7.2,3.57,30,4,29,0.6626
EMP_00010,Female,Product,No,5,2.7,6.27,45,2,10,0.5016
EMP_00011,Male,Product,No,5,4.8,8.88,40,5,4,0.6039
EMP_00012,Non-binary,Service,No,5,6.6,6.38,56,2,4,0.6989
EMP_00013,Female,Product,Yes,4,8.9,5.66,51,16,23,0.5781
EMP_00014,Male,Product,No,3,5.1,5.69,69,15,8,0.408
EMP_00015,Male,Product,Yes,2,8.3,4.96,48,4,22,0.4729
EMP_00016,Male,Service,Yes,1,8.0,8.08,35,15,9,0.4227
EMP_00017,Male,Product,No,2,4.7,0.5,69,5,28,0.421
EMP_00018,Male,Product,Yes,1,5.5,8.85,68,3,6,0.478
EMP_00019,Male,Product,No,4,7.3,5.86,49,14,10,0.5237
EMP_00020,Male,Service,Yes,3,1.3,8.49,32,7,20,0.2168
EMP_00021,Female,Service,No,1,9.0,0.1,30,15,12,0.434
EMP_00022,Male,Service,Yes,5,7.9,8.69,52,5,22,0.8355
EMP_00023,Male,Service,Yes,4,3.2,1.2,67,9,13,0.3744
EMP_00024,Male,Service,Yes,1,9.8,7.21,32,13,9,0.4966
EMP_00025,Male,Service,Yes,5,2.6,4.17,63,7,7,0.4528
EMP_00026,Female,Product,Yes,4,9.2,6.81,46,4,28,0.7553
EMP_00027,Male,Product,No,1,3.9,6.28,56,7,13,0.4263
EMP_00028,Male,Service,Yes,5,7.9,1.63,68,1,20,0.8107
EMP_00029,Female,Product,Yes,3,5.1,5.15,52,15,18,0.3749
EMP_00030,Male,Product,Yes,4,7.6,2.77,67,15,21,0.5664
EMP_00031,Female,Service,Yes,1,2.4,5.6,40,18,22,0.1338
EMP_00032,Male,Product,No,5,3.4,7.38,44,15,7,0.477
EMP_00033,Male,Service,No,3,1.9,0.81,55,3,9,0.3608
EMP_00034,Non-binary,Service,Yes,5,8.8,5.16,40,5,5,0.7475
EMP_00035,Non-binary,Product,Yes,3,3.7,6.18,36,5,27,0.4037
